fecha,valor,indicator,region,año
2019-01-01T00:00:00.000+01:00,582949.806,Demanda,peninsular,2019
2019-01-02T00:00:00.000+01:00,742199.407,Demanda,peninsular,2019
2019-01-03T00:00:00.000+01:00,787764.963,Demanda,peninsular,2019
2019-01-04T00:00:00.000+01:00,796010.035,Demanda,peninsular,2019
2019-01-05T00:00:00.000+01:00,721029.651,Demanda,peninsular,2019
2019-01-06T00:00:00.000+01:00,661772.168,Demanda,peninsular,2019
2019-01-07T00:00:00.000+01:00,764920.771,Demanda,peninsular,2019
2019-01-08T00:00:00.000+01:00,844559.085,Demanda,peninsular,2019
2019-01-09T00:00:00.000+01:00,846151.453,Demanda,peninsular,2019
2019-01-10T00:00:00.000+01:00,857323.124,Demanda,peninsular,2019
2019-01-11T00:00:00.000+01:00,867181.886,Demanda,peninsular,2019
2019-01-12T00:00:00.000+01:00,775170.712,Demanda,peninsular,2019
2019-01-13T00:00:00.000+01:00,722271.171,Demanda,peninsular,2019
2019-01-14T00:00:00.000+01:00,835752.36,Demanda,peninsular,2019
2019-01-15T00:00:00.000+01:00,846245.527,Demanda,peninsular,2019
2019-01-16T00:00:00.000+01:00,847911.818,Demanda,peninsular,2019
2019-01-17T00:00:00.000+01:00,849875.833,Demanda,peninsular,2019
2019-01-18T00:00:00.000+01:00,848781.942,Demanda,peninsular,2019
2019-01-19T00:00:00.000+01:00,766537.72,Demanda,peninsular,2019
2019-01-20T00:00:00.000+01:00,705583.355,Demanda,peninsular,2019
2019-01-21T00:00:00.000+01:00,828406.838,Demanda,peninsular,2019
2019-01-22T00:00:00.000+01:00,864855.303,Demanda,peninsular,2019
2019-01-23T00:00:00.000+01:00,854462.174,Demanda,peninsular,2019
2019-01-24T00:00:00.000+01:00,837075.708,Demanda,peninsular,2019
2019-01-25T00:00:00.000+01:00,815349.834,Demanda,peninsular,2019
2019-01-26T00:00:00.000+01:00,724205.323,Demanda,peninsular,2019
2019-01-27T00:00:00.000+01:00,678249.362,Demanda,peninsular,2019
2019-01-28T00:00:00.000+01:00,807644.379,Demanda,peninsular,2019
2019-01-29T00:00:00.000+01:00,832616.612,Demanda,peninsular,2019
2019-01-30T00:00:00.000+01:00,829785.386,Demanda,peninsular,2019
2019-01-31T00:00:00.000+01:00,823510.841,Demanda,peninsular,2019
2019-02-01T00:00:00.000+01:00,811408.357,Demanda,peninsular,2019
2019-02-02T00:00:00.000+01:00,739149.442,Demanda,peninsular,2019
2019-02-03T00:00:00.000+01:00,696029.792,Demanda,peninsular,2019
2019-02-04T00:00:00.000+01:00,827865.952,Demanda,peninsular,2019
2019-02-05T00:00:00.000+01:00,826264.446,Demanda,peninsular,2019
2019-02-06T00:00:00.000+01:00,813527.159,Demanda,peninsular,2019
2019-02-07T00:00:00.000+01:00,805445.154,Demanda,peninsular,2019
2019-02-08T00:00:00.000+01:00,799019.676,Demanda,peninsular,2019
2019-02-09T00:00:00.000+01:00,719403.839,Demanda,peninsular,2019
2019-02-10T00:00:00.000+01:00,672445.604,Demanda,peninsular,2019
2019-02-11T00:00:00.000+01:00,781692.422,Demanda,peninsular,2019
2019-02-12T00:00:00.000+01:00,799138.409,Demanda,peninsular,2019
2019-02-13T00:00:00.000+01:00,797839.046,Demanda,peninsular,2019
2019-02-14T00:00:00.000+01:00,794299.138,Demanda,peninsular,2019
2019-02-15T00:00:00.000+01:00,790637.803,Demanda,peninsular,2019
2019-02-16T00:00:00.000+01:00,706487.416,Demanda,peninsular,2019
2019-02-17T00:00:00.000+01:00,656688.443,Demanda,peninsular,2019
2019-02-18T00:00:00.000+01:00,779646.845,Demanda,peninsular,2019
2019-02-19T00:00:00.000+01:00,789997.493,Demanda,peninsular,2019
