fecha,valor,porcentaje,indicator,region
2019-01-01,123.969,0.541252439519562,Índice general,peninsular
2019-02-01,114.805,0.5168881805247898,Índice general,peninsular
2019-03-01,126.515,0.5418433337616172,Índice general,peninsular
2019-04-01,119.432,0.5324773178180521,Índice general,peninsular
2019-05-01,130.28,0.5523592285286674,Índice general,peninsular
2019-06-01,128.288,0.5515011865047976,Índice general,peninsular
2019-07-01,135.566,0.5755784825712223,Índice general,peninsular
2019-08-01,125.668,0.5748107489994283,Índice general,peninsular
2019-09-01,127.6,0.5502822568472622,Índice general,peninsular
2019-10-01,129.484,0.5539683150864854,Índice general,peninsular
2019-11-01,121.014,0.5336726098863541,Índice general,peninsular
2019-12-01,110.193,0.534219877926397,Índice general,peninsular
2019-01-01,105.072,0.4581427113386133,Índice general corregido,peninsular
2019-02-01,107.303,0.4789953992167335,Índice general corregido,peninsular
2019-03-01,106.975,0.4575667393780518,Índice general corregido,peninsular
2019-04-01,104.863,0.4588751719881501,Índice general corregido,peninsular
2019-05-01,105.581,0.4444402900760273,Índice general corregido,peninsular
2019-06-01,104.328,0.4441345334105395,Índice general corregido,peninsular
2019-07-01,99.964,0.423947595145544,Índice general corregido,peninsular
2019-08-01,92.957,0.4195807517539985,Índice general corregido,peninsular
2019-09-01,104.281,0.4432466522121416,Índice general corregido,peninsular
2019-10-01,104.255,0.4441830282362817,Índice general corregido,peninsular
2019-11-01,105.743,0.4625986848454971,Índice general corregido,peninsular
2019-12-01,96.076,0.4587311122920701,Índice general corregido,peninsular
2019-01-01,-0.3023844947525069,1.0,Variación mensual,peninsular
2019-02-01,-1.908765454250288,1.0,Variación mensual,peninsular
2019-03-01,-0.3010315452690016,1.0,Variación mensual,peninsular
2019-04-01,-4.22684297891791,1.0,Variación mensual,peninsular
2019-05-01,-1.6984705465136494,1.0,Variación mensual,peninsular
2019-06-01,-2.2857969822300244,1.0,Variación mensual,peninsular
2019-07-01,0.2632941350491787,1.0,Variación mensual,peninsular
2019-08-01,-2.922341271987074,1.0,Variación mensual,peninsular
2019-09-01,-3.385300330882634,1.0,Variación mensual,peninsular
2019-10-01,-0.972804307259316,1.0,Variación mensual,peninsular
